01:42.0,1014.5,0,0,13.16,31.88
03:42.7,1014.5,0,0,13.15,31.87
05:43.3,1014.5,0,0,13.13,31.85
07:43.8,1014.5,0.08,0.2,13.11,31.83
09:44.6,1014.5,0.08,0.57,13.09,31.81
11:45.2,1014.4,0.09,0.19,13.07,31.79
13:45.8,1014.4,0.11,0.64,13.05,31.77
15:46.4,1014.4,0.08,0.1,13.03,31.75
17:46.9,1014.4,0.11,0.57,13,31.72
19:47.4,1014.4,0.09,0.63,12.98,31.7
21:48.0,1014.3,0.13,0.9,12.96,31.67
23:48.8,1014.3,0.14,0.92,12.94,31.64
25:49.4,1014.3,0.12,0.65,12.91,31.61
27:50.0,1014.3,0.21,0.95,12.89,31.58
29:51.3,1014.2,0.15,0.96,12.86,31.55
31:51.8,1014.2,0.12,0.5,12.84,31.52
33:52.5,1014.2,0.09,0.16,12.81,31.48
35:53.4,1014.2,0.16,0.06,12.79,31.45
37:54.0,1014.1,0.18,0.56,12.76,31.42
39:54.6,1014.1,0.12,0.94,12.73,31.38
41:55.2,1014.1,0.19,0.99,12.64,31.02
43:56.1,1014.1,0.19,1,12.61,30.98
45:56.7,1014,0.24,1,12.59,30.95
47:57.3,1014,0.31,1,12.56,30.91
49:57.9,1014,0.19,1,12.53,30.87
51:58.5,1014,0.19,0.98,12.51,30.84
53:59.0,1013.9,0.09,0.53,12.48,30.8
55:59.5,1013.9,0.08,0.13,12.45,30.76
58:00.1,1013.9,0.07,0.16,12.43,30.73
00:00.7,1013.8,0,0,12.4,30.69
02:01.8,1013.8,0.06,0.01,12.37,30.65
04:02.4,1013.8,0.07,0.02,12.34,30.61
06:02.9,1013.8,0,0,12.31,30.57
08:03.4,1013.7,0,0,12.28,30.52
10:04.0,1013.7,0,0,12.25,30.48
12:04.5,1013.7,0,0,12.22,30.43
14:05.0,1013.7,0,0,12.19,30.39
16:05.5,1013.6,0,0,12.16,30.34
18:06.6,1013.6,0,0,12.12,30.29
20:07.1,1013.6,0,0,12.09,30.24
22:07.7,1013.5,0,0,12.06,30.19
24:08.3,1013.5,0,0,12.02,30.14
26:08.8,1013.5,0,0,11.99,30.09
28:09.3,1013.4,0,0,11.96,30.04
30:09.9,1013.4,0,0,11.92,29.99
32:10.4,1013.4,0.05,0.03,11.89,29.94
34:11.2,1013.4,0.06,0.04,11.86,29.89
36:11.7,1013.3,0.06,0.01,11.82,29.84
38:12.3,1013.3,0,0,11.79,29.79
40:12.9,1013.3,0,0,11.75,29.76
42:13.4,1013.2,0,0,11.71,29.71
44:14.0,1013.2,0,0,11.68,29.65
46:14.5,1013.2,0,0,11.65,29.6
48:15.1,1013.2,0,0,11.62,29.55
50:15.7,1013.1,0,0,11.59,29.51
52:16.2,1013.1,0,0,11.56,29.46
54:16.8,1013.1,0,0,11.54,29.41
56:17.3,1013.1,0,0,11.51,29.37
58:17.9,1013,0,0,11.48,29.32
00:18.5,1013,0,0,11.46,29.28
02:19.1,1013,0,0,11.43,29.23
04:19.6,1013,0,0,11.41,29.19
06:20.2,1013,0,0,11.38,29.15
08:20.7,1012.9,0,0,11.36,29.1
10:21.3,1012.9,0,0,11.33,29.06
12:22.5,1012.9,0,0,11.31,29.01
14:23.1,1012.9,0,0,11.28,28.97
16:23.7,1012.9,0,0,11.26,28.93
18:24.3,1012.8,0.09,0.2,11.23,28.88
20:24.8,1012.8,0.11,0.52,11.21,28.84
22:25.4,1012.8,0.17,0.59,11.19,28.8
24:26.0,1012.8,0.12,0.1,11.16,28.76
26:26.6,1012.8,0.2,0.12,11.14,28.71
28:27.1,1012.8,0.1,0.03,11.12,28.67
30:27.7,1012.7,0.09,0.5,11.1,28.63
32:28.3,1012.7,0.1,0.45,11.08,28.59
34:28.8,1012.7,0.09,0.2,11.06,28.55
36:29.3,1012.7,0.18,0.42,11.04,28.51
38:29.8,1012.7,0.26,0.81,11.02,28.48
40:30.4,1012.7,0.35,0.64,11.04,28.69
42:30.9,1012.7,0.24,0.16,11.02,28.65
44:31.4,1012.7,0.19,0.79,11.01,28.61
46:32.0,1012.6,0.32,1,10.99,28.57
48:32.5,1012.6,0.23,1,10.98,28.54
50:33.1,1012.6,0.14,0.97,10.97,28.5
52:33.5,1012.6,0.3,1,10.96,28.47
54:34.0,1012.6,0.22,0.72,10.96,28.44
56:34.6,1012.6,0.18,0.26,10.95,28.41
58:35.1,1012.6,0.21,0.79,10.95,28.38
00:35.7,1012.6,0.13,0.93,10.94,28.35
02:36.2,1012.6,0.14,0.67,10.94,28.32
04:36.6,1012.6,0,0,10.95,28.3
06:37.1,1012.6,0,0,10.95,28.27
08:37.6,0,0,0,0,0
10:42.9,1012.6,0,0,10.96,28.22
12:44.4,1012.6,0,0,10.97,28.2
14:44.9,1012.6,0,0,10.97,28.18
16:45.4,1012.6,0,0,10.98,28.16
18:46.0,1012.6,0,0,10.99,28.14
20:46.5,1012.6,0,0,11.01,28.13
22:47.0,1012.6,0,0,11.02,28.11
24:47.5,1012.6,0,0,11.03,28.09
26:48.1,1012.7,0,0,11.05,28.07
28:48.7,1012.7,0,0,11.07,28.06
30:49.2,1012.7,0,0,11.08,28.04
32:49.7,1012.7,0,0,11.1,28.03
34:50.4,1012.7,0,0,11.12,28.02
36:50.9,1012.7,0,0,11.14,28
38:51.4,1012.7,0,0,11.16,27.99
40:52.0,1012.7,0,0,11.18,27.98
42:52.5,1012.7,0,0,11.2,27.96
44:53.1,1012.8,0,0,11.23,27.95
46:53.7,1012.8,0,0,11.25,27.94
48:54.2,1012.8,0,0,11.27,27.93
50:54.8,1012.8,0.1,0.05,11.29,27.92
52:55.4,1012.8,0.12,0.22,11.31,27.9
54:55.9,1012.8,0,0,11.34,27.89
56:57.4,1012.8,0,0,11.36,27.88
58:58.0,1012.9,0.07,0.22,11.38,27.87
00:58.6,1012.9,0.08,0.68,11.4,27.86
02:59.2,1012.9,0.13,0.73,11.43,27.84
04:59.7,1012.9,0.22,1,11.46,27.83
07:00.2,1012.9,0.26,1,11.48,27.82
09:00.8,1012.9,0.22,0.92,11.51,27.82
11:01.4,1013,0.16,0.88,11.55,27.81
13:02.0,1013,0.13,0.38,11.58,27.8
15:02.8,1013,0.07,0.03,11.61,27.79
17:03.4,1013,0.09,0.06,11.65,27.79
19:04.0,1013,0.09,0.02,11.68,27.78
21:04.6,1013.1,0.11,0.07,11.72,27.77
23:05.2,1013.1,0.08,0.02,11.76,27.77
25:05.6,1013.1,0.09,0.52,11.79,27.76
27:06.2,1013.1,0.11,0.49,11.83,27.76
29:06.7,1013.2,0.11,0.19,11.87,27.75
31:07.3,1013.2,0.09,0.49,11.91,27.75
33:07.8,1013.2,0.12,0.57,11.94,27.74
35:08.4,1013.2,0.08,0.16,11.98,27.74
37:09.1,1013.2,0.1,0.33,12.01,27.73
39:09.6,1013.3,0.1,0.42,12.05,27.73
41:10.2,1013.3,0.1,0.9,12.13,27.72
43:10.8,1013.3,0.09,0.4,12.16,27.71
45:11.4,1013.3,0.08,0.46,12.19,27.71
47:11.9,1013.4,0.07,0.18,12.22,27.7
49:12.5,1013.4,0.06,0.03,12.24,27.69
51:13.0,1013.4,0,0,12.27,27.68
53:13.6,1013.4,0,0,12.29,27.67
55:14.2,1013.5,0,0,12.31,27.66
57:14.8,1013.5,0,0,12.33,27.65
59:15.3,1013.5,0,0,12.34,27.64
01:15.9,1013.5,0,0,12.36,27.62
03:16.4,1013.5,0,0,12.37,27.61
05:17.0,1013.6,0,0,12.38,27.6
07:17.6,1013.6,0,0,12.38,27.58
09:18.1,1013.6,0,0,12.39,27.57
11:18.7,1013.6,0,0,12.39,27.56
13:19.3,1013.7,0,0,12.39,27.54
15:19.8,1013.7,0,0,12.39,27.53
17:20.5,1013.7,0,0,12.39,27.51
19:21.1,1013.7,0,0,12.39,27.5
21:21.7,1013.8,0,0,12.38,27.48
23:22.2,1013.8,0.09,0.47,12.38,27.47
25:22.8,1013.8,0.08,0.22,12.37,27.45
27:23.5,1013.8,0.1,0.21,12.36,27.44
29:24.0,1013.9,0.1,0.28,12.36,27.42
31:24.6,1013.9,0.14,0.52,12.35,27.4
33:25.2,1013.9,0.17,0.58,12.34,27.39
35:25.7,1013.9,0.12,0.61,12.33,27.37
37:26.3,1014,0.14,0.77,12.32,27.35
39:26.9,1014,0.13,0.78,12.31,27.33
41:27.4,1014.2,0.14,0.74,12.29,27.3
43:27.9,1014.3,0.17,0.84,12.28,27.28
45:28.5,1013.9,0.1,0.45,11.94,26.67
47:29.1,1013.7,0.14,0.77,11.92,26.62
49:29.7,1013.7,0.1,0.69,11.9,26.58
51:30.3,1014,0.15,0.65,11.88,26.53
53:30.8,1013.8,0.21,0.62,11.86,26.49
55:31.4,1014,0.06,0.2,11.85,26.46
57:31.9,1014,0.06,0.07,11.84,26.42
59:33.3,1014,0,0,11.83,26.38
01:33.8,1014.1,0.07,0.01,11.82,26.35
03:34.4,1013.9,0.07,0.04,11.82,26.32
05:35.0,1013.9,0.06,0.02,10.81,26.23
07:35.7,1014.1,0.08,0.24,10.79,26.18
09:36.3,1014.2,0,0,10.78,26.12
11:36.8,1014.2,0,0,10.77,26.07
13:37.4,1014.2,0.12,0.25,10.75,26.02
15:38.0,1014.2,0.31,0.73,10.74,25.96
17:38.5,1014.2,0.37,0.91,10.73,25.91
19:39.1,1014.3,0.29,0.92,10.72,25.86
21:39.7,1014.3,0.28,0.94,10.71,25.8
23:40.3,1014.3,0.39,0.98,10.7,25.75
25:40.8,1014.3,0.78,0.99,10.69,25.7
27:41.4,1014.3,0.91,1,10.68,25.64
29:42.0,1014.3,0.92,1,10.67,25.59
31:42.5,1014.4,0.94,1,10.66,25.54
33:43.1,1014.4,0.83,1,10.66,25.49
35:43.7,1014.4,1.01,1,10.65,25.43
37:44.2,1014.4,0.85,1,10.64,25.38
39:44.8,1014.4,0.73,1,10.63,25.33
41:45.4,1014.5,0.41,1,10.66,25.27
43:45.9,1014.5,0.43,1,10.65,25.22
45:46.4,1014.5,0.88,1,10.44,25.17
47:47.1,1014.5,1.26,1,10.42,25.12
49:47.6,1014.5,1.73,1,10.4,25.06
51:48.1,1014.5,2.1,1,10.38,25.01
53:48.7,1014.6,1.49,1,10.36,24.96
55:49.3,1014.6,1.13,1,10.35,24.9
57:49.9,1014.6,0.84,1,10.33,24.85
59:50.4,1014.6,0.63,1,10.31,24.8
01:51.0,1014.7,0.68,1,10.3,24.75
03:51.6,1014.7,0.74,1,10.28,24.69
05:52.2,1014.7,0.29,1,10.26,24.64
07:52.8,1014.7,0.26,0.99,10.25,24.59
09:53.4,1014.7,0.34,1,10.23,24.53
11:53.9,1014.8,0.3,0.96,10.22,24.48
13:54.5,1014.8,0.28,0.5,10.2,24.42
15:56.1,1014.8,0.13,0.32,10.18,24.37
17:56.6,1014.8,0.09,0.22,10.17,24.31
19:57.2,1014.9,0.11,0.47,10.15,24.26
21:57.8,1014.9,0.12,0.62,10.14,24.21
23:58.5,1014.9,0.15,0.75,10.12,24.15
25:59.0,1014.9,0.11,0.19,10.11,24.1
28:00.2,1014.9,0.26,0.49,10.09,24.04
30:00.8,1015,0.29,0.78,10.08,23.99
32:01.3,1015,0.23,0.64,10.07,23.93
34:01.9,1015,0.19,0.54,10.05,23.88
36:02.4,1015,0.2,0.45,10.04,23.83
38:03.0,1015.1,0.1,0.11,10.03,23.78
40:03.6,1015.1,0.1,0.1,10.01,23.72
42:04.1,1015.1,0.08,0.12,9.97,23.67
44:04.7,1015.1,0.09,0.15,9.96,23.62
46:05.3,1015.2,0.11,0.09,9.95,23.57
48:05.9,1015.2,0.09,0.02,9.94,23.52
50:06.5,1015.2,0.06,0.1,9.93,23.47
52:07.1,1015.2,0.08,0.54,9.92,23.42
54:07.6,1015.3,0.06,0.04,9.91,23.37
56:08.1,1015.3,0,0,9.9,23.33
58:08.6,1015.3,0,0,9.89,23.28
00:09.2,1015.4,0,0,9.89,23.24
02:09.8,1015.4,0,0,9.88,23.19
04:10.3,1015.4,0,0,9.87,23.15
06:10.9,1015.4,0,0,9.86,23.1
08:11.5,1015.5,0,0,9.86,23.06
10:12.1,1015.5,0,0,9.85,23.02
12:12.6,1015.5,0,0,9.84,22.97
14:13.2,1015.6,0,0,9.84,22.93
16:13.7,1015.6,0,0,9.83,22.88
18:14.3,1015.6,0,0,9.82,22.84
20:14.9,1015.6,0,0,9.82,22.8
22:15.4,1015.7,0,0,9.81,22.76
24:16.0,1015.7,0.08,0.05,9.81,22.72
26:16.6,1015.7,0.09,0.15,9.8,22.68
28:17.2,1015.8,0.11,0.14,9.8,22.64
30:17.7,1015.8,0.08,0.06,9.8,22.6
32:18.2,1015.8,0.11,0.13,9.79,22.56
34:18.7,1015.9,0.12,0.18,9.79,22.52
36:19.2,1015.9,0.1,0.49,9.79,22.49
38:19.7,1015.9,0.08,0.3,9.79,22.45
40:20.2,1016,0,0,9.79,22.42
42:20.7,1016,0,0,9.79,22.38
44:21.2,1016,0,0,9.79,22.35
46:21.8,1016.1,0,0,9.8,22.32
48:22.4,1016.1,0,0,9.8,22.29
50:23.0,1016.2,0,0,9.8,22.26
52:23.5,1016.2,0,0,9.81,22.23
54:24.1,1016.2,0,0,9.81,22.21
56:24.8,1016.3,0.06,0.03,9.82,22.18
58:25.3,1016.3,0.06,0.24,9.83,22.16
00:25.8,1016.4,0,0,9.83,22.14
02:26.4,1016.4,0,0,9.84,22.12
04:27.0,1016.4,0,0,9.85,22.1
06:27.5,1016.5,0.07,0.01,9.86,22.08
08:28.0,1016.5,0,0,9.88,22.06
10:28.5,1016.6,0,0,9.89,22.05
12:29.0,1016.6,0,0,9.9,22.03
14:29.6,1016.7,0,0,9.92,22.02
16:30.2,1016.7,0.07,0.04,9.94,22.01
18:30.7,1016.8,0.08,0.17,9.95,22
20:31.2,1016.8,0,0,9.97,21.99
22:31.7,1016.9,0.06,0.01,9.99,21.98
24:32.2,1016.9,0,0,10.01,21.98
26:32.7,1017,0,0,10.03,21.97
28:33.1,1017,0,0,10.04,21.96
30:33.7,1017.1,0,0,10.07,21.96
32:34.1,1017.1,0,0,10.09,21.96
34:34.6,1017.2,0,0,10.11,21.95
36:35.1,1017.2,0,0,10.13,21.95
38:35.6,1017.3,0,0,10.15,21.95
40:36.1,1017.3,0,0,10.17,21.95
42:36.6,1017.4,0,0,10.2,21.95
44:37.1,1017.4,0,0,10.22,21.95
46:37.6,1017.5,0,0,10.24,21.95
48:38.1,1017.5,0,0,10.26,21.95
50:38.7,1017.6,0,0,10.29,21.95
52:39.1,1017.7,0,0,10.32,21.95
54:39.7,1017.7,0,0,10.34,21.95
